book,unit,word,phonetic,meaning,example,example_translation
界面与需求,学习模块,practice,/,ˈpræktɪs/,n./v. 练习,Daily practice is important.,每日练习很重要。
界面与需求,学习模块,review,/,rɪˈvjuː/,n./v. 复习,Review the lesson after class.,课后复习课程。
界面与需求,学习模块,test,/,test/,n./v. 测试,Take a test to check your level.,参加测试检查你的水平。
界面与需求,学习模块,exam,/,ɪɡˈzæm/,n. 考试,The exam is next week.,考试在下周。
界面与需求,学习模块,score,/,skɔːr/,n. 分数,What's your score?,你的分数是多少？
界面与需求,学习模块,correct,/,kəˈrekt/,adj. 正确的,Your answer is correct.,你的答案是正确的。
界面与需求,学习模块,wrong,/,rɔːŋ/,adj. 错误的,That's the wrong answer.,那是错误的答案。
界面与需求,学习模块,progress,/,ˈprɑːɡres/,n. 进度,Track your learning progress.,跟踪你的学习进度。
界面与需求,教材管理,textbook,/,ˈtekstbʊk/,n. 教材,This textbook is for Grade 5.,这本教材是五年级的。
界面与需求,教材管理,unit,/,ˈjuːnɪt/,n. 单元,We are studying Unit 3.,我们正在学习第三单元。
界面与需求,教材管理,chapter,/,ˈtʃæptər/,n. 章节,Read Chapter 2 for homework.,作业是阅读第二章。
界面与需求,教材管理,vocabulary,/,vəˈkæbjəleri/,n. 词汇,Learn the vocabulary first.,先学习词汇。
界面与需求,教材管理,lesson,/,ˈlesn/,n. 课,Today's lesson is about verbs.,今天的课是关于动词。
界面与需求,教材管理,grade,/,ɡreɪd/,n. 年级；等级,What grade are you in?,你几年级？
界面与需求,教材管理,semester,/,sɪˈmestər/,n. 学期,The fall semester starts in September.,秋季学期九月开始。
界面与需求,教材管理,curriculum,/,kəˈrɪkjələm/,n. 课程体系,The curriculum covers all subjects.,课程体系涵盖所有科目。
界面与需求,单词练习,meaning,/,ˈmiːnɪŋ/,n. 意思；含义,What's the meaning of this word?,这个单词的意思是什么？
界面与需求,单词练习,phonetic,/,fəˈnetɪk/,adj. 音标的,Learn the phonetic symbols.,学习音标。
界面与需求,单词练习,pronunciation,/,prəˌnʌnsiˈeɪʃn/,n. 发音,Practice your pronunciation.,练习你的发音。
界面与需求,单词练习,spelling,/,ˈspelɪŋ/,n. 拼写,Check your spelling.,检查你的拼写。
界面与需求,单词练习,definition,/,ˌdefɪˈnɪʃn/,n. 定义；释义,Look up the definition.,查找定义。
界面与需求,单词练习,translation,/,trænzˈleɪʃn/,n. 翻译,Write the translation in Chinese.,用中文写翻译。
界面与需求,单词练习,example,/,ɪɡˈzæmpl/,n. 例子,Give me an example.,给我一个例子。
界面与需求,单词练习,sentence,/,ˈsentəns/,n. 句子,Make a sentence with this word.,用这个单词造句。
界面与需求,题型类型,choice,/,tʃɔɪs/,n. 选择,Choose the correct answer.,选择正确答案。
界面与需求,题型类型,blank,/,blæŋk/,n. 空白,Fill in the blank.,填空。
界面与需求,题型类型,match,/,mætʃ/,v. 匹配；配对,Match the words with meanings.,将单词与释义配对。
界面与需求,题型类型,pair,/,per/,n. 对；配对,Find the correct pair.,找到正确的配对。
界面与需求,题型类型,option,/,ˈɑːpʃn/,n. 选项,There are four options.,有四个选项。
界面与需求,题型类型,hint,/,hɪnt/,n. 提示,Use the hint if you need help.,如果需要帮助，使用提示。
界面与需求,题型类型,prompt,/,prɑːmpt/,n. 提示；题目,Read the prompt carefully.,仔细阅读题目。
界面与需求,题型类型,answer,/,ˈænsər/,n. 答案,What's the correct answer?,正确答案是什么？
界面与需求,游戏化系统,XP,/,eks piː/,n. 经验值,You earned 10 XP.,你获得了10点经验值。
界面与需求,游戏化系统,streak,/,striːk/,n. 连续记录,Keep your daily streak going!,保持你的每日连续记录！
界面与需求,游戏化系统,achievement,/,əˈtʃiːvmənt/,n. 成就,Unlock a new achievement.,解锁一个新成就。
界面与需求,游戏化系统,level,/,ˈlevl/,n. 等级,You reached level 5!,你达到了5级！
界面与需求,游戏化系统,reward,/,rɪˈwɔːrd/,n. 奖励,Earn rewards for studying.,学习获得奖励。
界面与需求,游戏化系统,challenge,/,ˈtʃælɪndʒ/,n. 挑战,Complete the daily challenge.,完成每日挑战。
界面与需求,游戏化系统,quest,/,kwest/,n. 任务,Daily quests give extra XP.,每日任务给额外经验值。
界面与需求,游戏化系统,badge,/,bædʒ/,n. 徽章,Collect all badges.,收集所有徽章。
界面与需求,错题复习,mistake,/,mɪˈsteɪk/,n. 错误,Learn from your mistakes.,从错误中学习。
界面与需求,错题复习,error,/,ˈerər/,n. 错误,Find and fix the error.,找到并修复错误。
界面与需求,错题复习,incorrect,/,ˌɪnkəˈrekt/,adj. 不正确的,The answer is incorrect.,答案不正确。
界面与需求,错题复习,accurate,/,ˈækjərət/,adj. 准确的,Be more accurate.,更准确一些。
界面与需求,错题复习,master,/,ˈmæstər/,v. 掌握,Master the vocabulary.,掌握词汇。
界面与需求,错题复习,grasp,/,ɡræsp/,v. 理解；掌握,Grasp the key concepts.,掌握关键概念。
界面与需求,错题复习,memorize,/,ˈmeməraɪz/,v. 记忆,Memorize these words.,记住这些单词。
界面与需求,错题复习,recall,/,rɪˈkɔːl/,v. 回忆,Recall the meaning.,回忆意思。
界面与需求,界面元素,button,/,ˈbʌtn/,n. 按钮,Click the button.,点击按钮。
界面与需求,界面元素,menu,/,ˈmenjuː/,n. 菜单,Open the menu.,打开菜单。
界面与需求,界面元素,icon,/,ˈaɪkɑːn/,n. 图标,The icon is on the left.,图标在左边。
界面与需求,界面元素,page,/,peɪdʒ/,n. 页面,Go to the next page.,转到下一页。
界面与需求,界面元素,card,/,kɑːrd/,n. 卡片,Each word is on a card.,每个单词在一张卡片上。
界面与需求,界面元素,progress bar,/,ˈprɑːɡres bɑːr/,n. 进度条,The progress bar shows 50%.,进度条显示50%。
界面与需求,界面元素,notification,/,ˌnoʊtɪfɪˈkeɪʃn/,n. 通知,You have a new notification.,你有一个新通知。
界面与需求,界面元素,setting,/,ˈsetɪŋ/,n. 设置,Change your settings.,更改你的设置。
界面与需求,导入导出,import,/,ˈɪmpɔːrt/,v. 导入,Import the word list.,导入词表。
界面与需求,导入导出,export,/,ˈekspɔːrt/,v. 导出,Export your progress.,导出你的进度。
界面与需求,导入导出,upload,/,ˈʌploʊd/,v. 上传,Upload the CSV file.,上传CSV文件。
界面与需求,导入导出,download,/,ˈdaʊnloʊd/,v. 下载,Download the template.,下载模板。
界面与需求,导入导出,format,/,ˈfɔːrmæt/,n. 格式,What format is the file?,文件是什么格式？
界面与需求,导入导出,template,/,ˈtempleɪt/,n. 模板,Use the provided template.,使用提供的模板。
界面与需求,导入导出,preview,/,ˈpriːvjuː/,n./v. 预览,Preview before importing.,导入前预览。
界面与需求,导入导出,confirm,/,kənˈfɜːrm/,v. 确认,Confirm your selection.,确认你的选择。
