book,unit,word,phonetic,meaning,example,example_translation
商务英语,商务会议,agenda,/,əˈdʒendə/,n. 议程；日程安排,Let's review the agenda for today's meeting.,让我们回顾一下今天会议的议程。
商务英语,商务会议,minutes,/,ˈmɪnɪts/,n. 会议记录,Please take minutes during the meeting.,请在会议期间做记录。
商务英语,商务会议,postpone,/,poʊstˈpoʊn/,v. 推迟；延期,We need to postpone the meeting.,我们需要推迟会议。
商务英语,商务会议,attendee,/,əˌtenˈdiː/,n. 出席者；参加者,All attendees must sign in.,所有出席者必须签到。
商务英语,商务会议,chairperson,/,ˈtʃerˌpɜːrsn/,n. 主席；主持人,The chairperson opened the meeting.,主持人宣布会议开始。
商务英语,商务会议,presentation,/,ˌprezenˈteɪʃn/,n. 演示；陈述,She gave an excellent presentation.,她做了一个精彩的演示。
商务英语,商务会议,proposal,/,prəˈpoʊzl/,n. 提案；建议,The proposal was approved by the board.,提案已获董事会批准。
商务英语,商务会议,quarterly,/,ˈkwɔːrtərli/,adj. 季度的,We have quarterly earnings reports.,我们有季度收益报告。
商务英语,商务谈判,negotiate,/,nɪˈɡoʊʃieɪt/,v. 谈判；协商,They negotiated the contract terms.,他们协商了合同条款。
商务英语,商务谈判,agreement,/,əˈɡriːmənt/,n. 协议；一致,We reached an agreement on the price.,我们就价格达成了一致。
商务英语,商务谈判,contract,/,ˈkɑːntrækt/,n. 合同；契约,Please sign the contract.,请签署合同。
商务英语,商务谈判,clause,/,klɔːz/,n. 条款,There's a penalty clause in the contract.,合同中有违约金条款。
商务英语,商务谈判,compromise,/,ˈkɑːmprəmaɪz/,n./v. 妥协；折衷,We need to find a compromise.,我们需要找到折衷方案。
商务英语,商务谈判,deadline,/,ˈdedlaɪn/,n. 截止日期,The deadline is next Friday.,截止日期是下周五。
商务英语,商务谈判,discount,/,ˈdɪskaʊnt/,n. 折扣,We offer a 10% discount for bulk orders.,大宗订单我们提供10%的折扣。
商务英语,商务谈判,invoice,/,ˈɪnvɔɪs/,n. 发票,Please send us the invoice.,请把发票发给我们。
商务英语,财务报表,revenue,/,ˈrevənuː/,n. 收入；营收,Annual revenue increased by 15%.,年收入增长了15%。
商务英语,财务报表,profit,/,ˈprɑːfɪt/,n. 利润,Net profit after tax was $5 million.,税后净利润为500万美元。
商务英语,财务报表,budget,/,ˈbʌdʒɪt/,n. 预算,We need to cut the budget.,我们需要削减预算。
商务英语,财务报表,expenditure,/,ɪkˈspendɪtʃər/,n. 支出；开支,Operating expenditures are rising.,运营开支在增加。
商务英语,财务报表,asset,/,ˈæset/,n. 资产,The company has significant assets.,公司拥有大量资产。
商务英语,财务报表,liability,/,ˌlaɪəˈbɪləti/,n. 负债；责任,Total liabilities exceeded assets.,总负债超过了资产。
商务英语,财务报表,audit,/,ˈɔːdɪt/,n./v. 审计,The audit found several issues.,审计发现了几个问题。
商务英语,财务报表,dividend,/,ˈdɪvɪdend/,n. 股息；红利,The company declared a dividend.,公司宣布派发股息。
商务英语,人力资源,recruit,/,rɪˈkruːt/,v. 招聘；招募,We need to recruit new staff.,我们需要招聘新员工。
商务英语,人力资源,resume,/,ˈrezjumeɪ/,n. 简历,Please submit your resume.,请提交你的简历。
商务英语,人力资源,probation,/,proʊˈbeɪʃn/,n. 试用期,New employees have a 3-month probation.,新员工有3个月的试用期。
商务英语,人力资源,promotion,/,prəˈmoʊʃn/,n. 晋升；促销,She received a promotion.,她获得了晋升。
商务英语,人力资源,compensation,/,ˌkɑːmpenˈseɪʃn/,n. 薪酬；补偿,Compensation includes salary and benefits.,薪酬包括工资和福利。
商务英语,人力资源,appraisal,/,əˈpreɪzl/,n. 评估；考核,Annual performance appraisal is in December.,年度绩效考核在12月。
商务英语,人力资源,terminate,/,ˈtɜːrmɪneɪt/,v. 终止；解雇,His employment was terminated.,他的雇佣关系被终止了。
商务英语,市场营销,brand,/,brænd/,n. 品牌,Our brand is well-known.,我们的品牌很有名。
商务英语,市场营销,campaign,/,kæmˈpeɪn/,n. 活动；运动,The marketing campaign was successful.,营销活动很成功。
商务英语,市场营销,target,/,ˈtɑːrɡɪt/,n. 目标,Who is our target audience?,我们的目标受众是谁？
商务英语,市场营销,launch,/,lɔːntʃ/,v. 发布；推出,We will launch the product next month.,我们下个月将推出产品。
商务英语,市场营销,competitor,/,kəmˈpetɪtər/,n. 竞争对手,Our main competitor is Company X.,我们的主要竞争对手是X公司。
商务英语,市场营销,market share,/,ˈmɑːrkɪt ʃer/,n. 市场份额,Our market share is growing.,我们的市场份额在增长。
商务英语,市场营销,strategy,/,ˈstrætədʒi/,n. 策略,We need a new marketing strategy.,我们需要新的营销策略。
商务英语,市场营销,survey,/,ˈsɜːrveɪ/,n. 调查,We conducted a customer survey.,我们进行了一项客户调查。
商务英语,商务邮件,attachment,/,əˈtætʃmənt/,n. 附件,Please see the attachment.,请查看附件。
商务英语,商务邮件,confidential,/,ˌkɑːnfɪˈdenʃl/,adj. 机密的,This email is confidential.,这封邮件是机密的。
商务英语,商务邮件,acknowledge,/,əkˈnɑːlɪdʒ/,v. 确认；感谢,Please acknowledge receipt of this email.,请确认收到此邮件。
商务英语,商务邮件,regarding,/,rɪˈɡɑːrdɪŋ/,prep. 关于,I'm writing regarding the project.,我写信是关于这个项目。
商务英语,商务邮件,prompt,/,prɑːmpt/,adj. 迅速的,Thank you for your prompt reply.,感谢您的迅速回复。
商务英语,商务邮件,convenience,/,kənˈviːniəns/,n. 方便；便利,At your earliest convenience.,在您方便的时候。
商务英语,国际贸易,import,/,ˈɪmpɔːrt/,n./v. 进口,We import goods from China.,我们从中国进口商品。
商务英语,国际贸易,export,/,ˈekspɔːrt/,n./v. 出口,The company exports to 50 countries.,公司向50个国家出口。
商务英语,国际贸易,tariff,/,ˈtærɪf/,n. 关税,The tariff on imports increased.,进口关税增加了。
商务英语,国际贸易,customs,/,ˈkʌstəmz/,n. 海关,The goods are held at customs.,货物被扣留在海关。
商务英语,国际贸易,shipment,/,ˈʃɪpmənt/,n. 装运；货物,The shipment arrived yesterday.,货物昨天到达了。
商务英语,国际贸易,warehouse,/,ˈwerhaʊs/,n. 仓库,The goods are in the warehouse.,货物在仓库里。
商务英语,国际贸易,logistics,/,ləˈdʒɪstɪks/,n. 物流,Logistics costs are increasing.,物流成本在增加。
商务英语,国际贸易,compliance,/,kəmˈplaɪəns/,n. 合规,We must ensure regulatory compliance.,我们必须确保合规。
