book,unit,word,phonetic,meaning,example,example_translation
C++程序员英语,基础语法,variable,/,ˈveriəbl/,n. 变量,Declare a variable before using it.,使用变量前要先声明。
C++程序员英语,基础语法,function,/,ˈfʌŋkʃn/,n. 函数,Define a function to calculate the sum.,定义一个函数来计算总和。
C++程序员英语,基础语法,parameter,/,pəˈræmɪtər/,n. 参数,The function takes two parameters.,这个函数有两个参数。
C++程序员英语,基础语法,return,/,rɪˈtɜːrn/,v. 返回,The function returns an integer.,函数返回一个整数。
C++程序员英语,基础语法,loop,/,luːp/,n. 循环,Use a loop to iterate through the array.,使用循环遍历数组。
C++程序员英语,基础语法,condition,/,kənˈdɪʃn/,n. 条件,Check the condition before proceeding.,在继续之前检查条件。
C++程序员英语,基础语法,statement,/,ˈsteɪtmənt/,n. 语句,Each line is a statement.,每一行是一个语句。
C++程序员英语,基础语法,syntax,/,ˈsɪntæks/,n. 语法,There's a syntax error in your code.,你的代码有语法错误。
C++程序员英语,数据类型,integer,/,ˈɪntɪdʒər/,n. 整数,Use int for integer values.,使用int表示整数值。
C++程序员英语,数据类型,floating point,/,ˈfloʊtɪŋ pɔɪnt/,n. 浮点数,Float is a floating point type.,Float是浮点类型。
C++程序员英语,数据类型,character,/,ˈkærəktər/,n. 字符,A char stores a single character.,char存储单个字符。
C++程序员英语,数据类型,boolean,/,ˈbuːliən/,n. 布尔值,Bool has only true or false.,Bool只有true或false。
C++程序员英语,数据类型,array,/,əˈreɪ/,n. 数组,An array stores multiple elements.,数组存储多个元素。
C++程序员英语,数据类型,string,/,strɪŋ/,n. 字符串,Use string for text data.,使用string存储文本数据。
C++程序员英语,数据类型,pointer,/,ˈpɔɪntər/,n. 指针,A pointer stores a memory address.,指针存储内存地址。
C++程序员英语,数据类型,reference,/,ˈrefrəns/,n. 引用,A reference is an alias for a variable.,引用是变量的别名。
C++程序员英语,面向对象,class,/,klæs/,n. 类,Define a class for the user object.,为用户对象定义一个类。
C++程序员英语,面向对象,object,/,ˈɑːbdʒekt/,n. 对象,Create an instance of the class.,创建类的一个实例。
C++程序员英语,面向对象,constructor,/,kənˈstrʌktər/,n. 构造函数,The constructor initializes the object.,构造函数初始化对象。
C++程序员英语,面向对象,destructor,/,dɪˈstrʌktər/,n. 析构函数,The destructor cleans up resources.,析构函数清理资源。
C++程序员英语,面向对象,inheritance,/,ɪnˈherɪtəns/,n. 继承,Inheritance allows code reuse.,继承允许代码重用。
C++程序员英语,面向对象,polymorphism,/,ˌpɑːliˈmɔːrfɪzəm/,n. 多态,Polymorphism enables flexible code.,多态使代码更灵活。
C++程序员英语,面向对象,encapsulation,/,ɪnˌkæpsjuˈleɪʃn/,n. 封装,Encapsulation hides internal details.,封装隐藏内部细节。
C++程序员英语,面向对象,abstraction,/,æbˈstrækʃn/,n. 抽象,Abstraction simplifies complex systems.,抽象简化复杂系统。
C++程序员英语,内存管理,memory,/,ˈmeməri/,n. 内存,Memory management is crucial in C++.,内存管理在C++中至关重要。
C++程序员英语,内存管理,allocate,/,ˈæləkeɪt/,v. 分配,Allocate memory for the array.,为数组分配内存。
C++程序员英语,内存管理,deallocate,/,diːˈæləkeɪt/,v. 释放,Deallocate memory when done.,完成后释放内存。
C++程序员英语,内存管理,leak,/,liːk/,n. 泄漏,A memory leak causes problems.,内存泄漏会导致问题。
C++程序员英语,内存管理,heap,/,hiːp/,n. 堆,Dynamic allocation uses the heap.,动态分配使用堆。
C++程序员英语,内存管理,stack,/,stæk/,n. 栈,Local variables are on the stack.,局部变量在栈上。
C++程序员英语,内存管理,segmentation fault,/,ˌseɡmenˈteɪʃn fɔːlt/,n. 段错误,Null pointer causes segmentation fault.,空指针会导致段错误。
C++程序员英语,内存管理,garbage collection,/,ˈɡɑːrbɪdʒ kəˈlekʃn/,n. 垃圾回收,C++ doesn't have garbage collection.,C++没有垃圾回收。
C++程序员英语,编译调试,compiler,/,kəmˈpaɪlər/,n. 编译器,The compiler checks for errors.,编译器检查错误。
C++程序员英语,编译调试,linker,/,ˈlɪŋkər/,n. 链接器,The linker combines object files.,链接器合并目标文件。
C++程序员英语,编译调试,debug,/,diːˈbʌɡ/,v. 调试,Debug the program to find bugs.,调试程序以找到错误。
C++程序员英语,编译调试,breakpoint,/,ˈbreɪkpɔɪnt/,n. 断点,Set a breakpoint at line 10.,在第10行设置断点。
C++程序员英语,编译调试,compile,/,kəmˈpaɪl/,v. 编译,Compile the source code first.,先编译源代码。
C++程序员英语,编译调试,runtime,/,ˈrʌntaɪm/,n. 运行时,This error occurs at runtime.,这个错误发生在运行时。
C++程序员英语,编译调试,exception,/,ɪkˈsepʃn/,n. 异常,Handle exceptions with try-catch.,用try-catch处理异常。
C++程序员英语,编译调试,warning,/,ˈwɔːrnɪŋ/,n. 警告,The compiler issued a warning.,编译器发出了警告。
C++程序员英语,标准库,vector,/,ˈvektər/,n. 向量；动态数组,Use vector instead of array.,使用vector代替数组。
C++程序员英语,标准库,template,/,ˈtempleɪt/,n. 模板,Templates enable generic programming.,模板支持泛型编程。
C++程序员英语,标准库,iterator,/,ˈɪtəreɪtər/,n. 迭代器,Use an iterator to traverse the container.,使用迭代器遍历容器。
C++程序员英语,标准库,algorithm,/,ˈælɡərɪðəm/,n. 算法,The STL provides many algorithms.,STL提供了很多算法。
C++程序员英语,标准库,container,/,kənˈteɪnər/,n. 容器,Vector is a sequence container.,Vector是序列容器。
C++程序员英语,标准库,namespace,/,ˈneɪmspeɪs/,n. 命名空间,Use std namespace for standard library.,使用std命名空间访问标准库。
C++程序员英语,标准库,header file,/,ˈhedər faɪl/,n. 头文件,Include the header file.,包含头文件。
C++程序员英语,标准库,preprocessor,/,priːˈprɑːsesər/,n. 预处理器,The preprocessor handles #include.,预处理器处理#include。
C++程序员英语,设计模式,singleton,/,ˈsɪŋɡltən/,n. 单例模式,Use singleton for global access.,使用单例模式实现全局访问。
C++程序员英语,设计模式,factory,/,ˈfæktri/,n. 工厂模式,The factory creates objects.,工厂模式创建对象。
C++程序员英语,设计模式,observer,/,əbˈzɜːrvər/,n. 观察者模式,The observer watches for changes.,观察者模式监视变化。
C++程序员英语,设计模式,strategy,/,ˈstrætədʒi/,n. 策略模式,The strategy defines algorithms.,策略模式定义算法。
C++程序员英语,设计模式,adapter,/,əˈdæptər/,n. 适配器模式,The adapter converts interfaces.,适配器模式转换接口。
C++程序员英语,设计模式,decorator,/,ˈdekəreɪtər/,n. 装饰器模式,The decorator adds functionality.,装饰器模式添加功能。
C++程序员英语,开发工具,repository,/,rɪˈpɑːzətɔːri/,n. 仓库,Push code to the repository.,推送代码到仓库。
C++程序员英语,开发工具,branch,/,bræntʃ/,n. 分支,Create a new feature branch.,创建一个新的功能分支。
C++程序员英语,开发工具,merge,/,mɜːrdʒ/,v. 合并,Merge the branch into main.,将分支合并到main。
C++程序员英语,开发工具,commit,/,kəˈmɪt/,n./v. 提交,Commit your changes regularly.,定期提交你的更改。
C++程序员英语,开发工具,pull request,/,pʊl rɪˈkwest/,n. 拉取请求,Submit a pull request for review.,提交拉取请求以供审查。
C++程序员英语,开发工具,dependency,/,dɪˈpendənsi/,n. 依赖,Manage project dependencies.,管理项目依赖。
